problem_id,correctness,coarse_grained_novelty
2016_AMC_8_Problems_15,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
1991_AJHSME_Problems_25,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'NO', 'final_decision': 'YES'}"
1996_AJHSME_Problems_20,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2001_AMC_8_Problems_25,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
1996_AJHSME_Problems_12,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'NO', 'claude-3-7-sonnet-20250219': 'NO', 'gemini-2.0-flash': 'YES', 'final_decision': 'NO'}"
1996_AJHSME_Problems_12,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
1996_AJHSME_Problems_25,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2012_AMC_10A_Problems_21,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'NO', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2008_AMC_10A_Problems_5,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2005_AMC_10B_Problems_19,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2009_AMC_10B_Problems_14,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'NO', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'NO', 'final_decision': 'NO'}"
2006_AMC_12A_Problems_3,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2012_AMC_12B_Problems_24,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'NO', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2007_AMC_12B_Problems_5,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'NO', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
2021_AMC_12A_Problems_2,"{'claude-3-7-sonnet-20250219': 'YES', 'final_decision': 'YES'}","{'gpt-4.1': 'YES', 'claude-3-7-sonnet-20250219': 'YES', 'gemini-2.0-flash': 'YES', 'final_decision': 'YES'}"
