problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio,model
1831A,4,"['if statement', 'sorting', 'for loop', 'tuple']","['for loop', 'tuple']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '\t', '=', 's', 'l', 'm', ',', '.', '1', 'b', 'd', 'x', '+', '-', '*', '[', ']', 'v', '0', '2', ';', '_', ""'"", '""', '#', 'c', '<', '/', 'h', '>', '{', 'w', '}', 'j', 'y', 'A']","def solve(n, a):
    import sympy as sp
    b = list(range(1, n+1))
    idx = [sp.Indexed解(Frozenset(a), i) for i in range(n)]
    for i in idx:
        b[i] = b[sp.Indexed解(Frozenset(a), i) + 1]
    return tuple(b)
",False,False,2,1.0,OLMo-2-1124-13B-Instruct_creativity
1781A,3,"['if statement', 'tuple', 'matrix operation']",['if statement'],"['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', 'w', ',', 'd', 'h', 'm', '.', 's', 'l', 'b', 'v', '+', '-', 'x', '1', '2', '*', 'y', 'z', '_', '\t', '#', 'c', '<', '>', ';', 'q', '{', '}', '0', '/', 'k', '[', ']', '3', '5', ""'"", '\\', 'T', 'R', '""', '%', '&', 'F', 'N', 'S', 'W', 'E']","from math import sqrt

def solve(w: int, d: int, h: int, a: int, b: int, f: int, g: int) -> int:
    # Calculate the minimum cable length by summing distances along the edges
    # Distance from laptop (a, b) to the wall closer to the x-axis
    dist_a = min(a, w - a)
    # Distance from laptop (a, b) to the wall closer to the y-axis
    dist_b = min(b, d - b)
    
    # Distance from projector (f, g) on the ceiling to the wall closer to the x-axis
    dist_f = min(f, w - f)
    # Distance from projector (f, g) on the ceiling to the wall closer to the y-axis
    dist_g = min(g, d - g)
    
    # Total cable length
    cable_length = sqrt(dist_a**2 + dist_b**2) + sqrt(dist_f**2 + dist_g**2) + (w - (a + dist_a)) + (d - (b + dist_b))
    
    return int(cable_length)
",False,False,1,1.0,OLMo-2-1124-13B-Instruct_creativity
1832A,3,"['if statement', 'hashmap', 'for loop']",['recursion'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 's', '=', 'l', '[', '/', '2', ']', '>', '1', '""', 'Y', 'E', 'S', 'N', 'O', ',', '!', '-', 'y', '*', '0', ""'"", '{', '}', '<', '\t', 'w', 'b', 'm', 'd', '.', 'k', '%', 'F', '+', 'T', 'x', 'c']","def solve(case_index, s):
    def check_palindrome(s):
        return s == s[::-1]
",False,True,1,1.0,OLMo-2-1124-13B-Instruct_creativity
1790A,2,"['break statement', 'for loop']","['for loop', 'tuple']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '\t', 's', '=', ""'"", '3', '1', '4', '5', '9', '2', '6', '8', '7', 'c', '0', 'l', '[', ']', '+', 'b', 'k', 'z', '""', '*', 'w', 'h', '<', 'd', 'P', 'I', ',', '!', 'j', '#', 'S', 'T', 'R', 'x', 'q', 'm', '/', 'B', 'M', '.', '{', '|', '}', '-', 'v']","from decimal import getcontext, Decimal

def solve(n: str) -> int:
    getcontext().prec = 30
    pi_str = str(Decimal('3.141592653589793238462643383279502884197'))[:30]
    correct_digits = sum(1 for p, c in zip(pi_str, n) if p == c)
    return correct_digits
",False,False,2,1.0,OLMo-2-1124-13B-Instruct_creativity
1783A,1,['sorting'],['pass statement'],"['t', ' ', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', ':', 'l', 's', 'm', ',', '.', '1', '""', 'N', 'O', 'v', 'T', '[', ']', '-', 'Y', 'E', 'S', '*', 'y', 'd', '_', ""'"", '0', '2', ';', '+', '!', 'k', 'c', '{', '}', '>', 'x', '#', '<', 'b', '/', 'h', 'w', '\\', 'L']","def solve():
    pass
",False,True,1,1.0,OLMo-2-1124-13B-Instruct_creativity
1728A,0,['this is the og problem'],"['for loop', 'recursion', 'if statement']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\n', '=', 'c', 'l', 's', 'm', ',', '.', 'd', 'x', '+', '1', '\r', ""'"", '*', ';', '\t', 'v', '#', 'y', 'b', '[', ']', '0', '{', '}', 'k', 'A', 'h', 'w', '-', '2']","def solve():
    n, cnt = map(int, input().split())
    balls = [0] * (n + 1)
    for i in range(n):
        cnt_i = int(input())
        balls[cnt_i] += cnt_i
    parity = balls[-1] % 2
    
    def can_stay(x):
        return balls[x] >= 2
    
    def find_color(start):
        if can_stay(start):
            return start
        for i in range(n):
            if balls[i] >= 2 and can_stay(i) and balls[start] - 1 < balls[i]:
                return find_color(i)
        return start
    
    return find_color(1) if parity == 1 else find_color(2)
",False,True,3,1.0,OLMo-2-1124-13B-Instruct_creativity
1734A,0,['this is the og problem'],"['if statement', 'recursion']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', '.', 's', ':', '\r', '\n', '=', 'l', 'm', ',', '1', '0', '-', '2', 'x', '[', '+', ']', '>', 'd', '9', '7', 'w', 'h', '!', 'z', 'b', 'v', 'k', '<', '\t', '*', '#', ""'"", 'c', '/', ';', '{', 'I', 'N', 'T', 'M', 'A', 'X', '}', '\\', '&', 'j', '""', 'y', '3']","def solve():
    n, sticks = map(int, input().split())
    lengths = list(map(int, input().split()))
    
    def can_form_equilateral(triangle):
        a, b, c = sorted(triangle)
        return a**2 + b**2 == 2 * (a**2 + c**2)
",False,True,2,1.0,OLMo-2-1124-13B-Instruct_creativity
1743A,0,['this is the og problem'],"['for loop', 'if statement', 'set']","['t', '=', 'i', 'n', '(', 'p', 'u', ')', '\r', '\n', 'w', 'h', 'l', 'e', ' ', '!', '0', ':', 'a', 's', '1', '-', 'o', '*', '3', 'r', 'f', 'g', 'N', ';', '[', ']', '_', 'm', '.', '9', 'v', '<', '>', '{', '\t', '@', ""'"", ',', '$', '/', '}', 'x', 'c', 'k', 'd', '6', '2', '#', '""', '\\', 'b', '5', '8', '+', '4', 'T']","def solve():
    from math import comb
    
    def count_sequences(n, excluded_digits):
        # Initialize the count of valid sequences
        count = 0
        
        # Iterate over all possible digits
        for a in range(10):
            if a not in excluded_digits:
                # Iterate over all positions in the 4-digit sequence
                for i in range(4):
                    # Choose 2 instances of the current digit
                    count += comb(4, 2)
        
        return count
    
    # Process each test case
    for _ in range(int(input())):
        n = int(input())
        excluded_digits = sorted(list(map(int, input().split()))[:n])
        
        result = count_sequences(4, excluded_digits)
        print(result)
",False,True,3,1.0,OLMo-2-1124-13B-Instruct_creativity
1794A,2,"['dictionary', 'for loop']",['pass statement'],"['d', 'e', 'f', ' ', 'i', 's', '_', 'p', 'a', 'l', 'n', 'r', 'o', 'm', '(', ')', ':', '\r', '\n', 't', 'u', '=', '[', '-', '1', ']', 'g', '.', '2', ""'"", 'Y', 'E', 'S', '0', 'N', 'O', 'c', 'w', ',', 'k', 'y', 'b', 'x', '\t', '#', '""', 'j', 'v', '<', '/', '+', 'h', '>', ';', '{', '*', 'z', '}', '\\', 'T', 'F', '!', '9', '7']","def solve(n: int, strings: List[str]) -> str:
    """"""
    Determine if a string s is a palindrome given its non-empty prefixes and suffixes in arbitrary order.
    """"""
    # Implementation goes here
    pass
",False,True,1,1.0,OLMo-2-1124-13B-Instruct_creativity
1832A,2,"['if statement', 'hashmap']",['if statement'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 's', '=', 'l', '[', '/', '2', ']', '>', '1', '""', 'Y', 'E', 'S', 'N', 'O', ',', '!', '-', 'y', '*', '0', ""'"", '{', '}', '<', '\t', 'w', 'b', 'm', 'd', '.', 'k', '%', 'F', '+', 'T', 'x', 'c']","def solve(s):
    length = len(s)
    if length % 2 == 0:
        return ""YES""
    else:
        return ""NO""
",False,False,1,1.0,OLMo-2-1124-13B-Instruct_creativity
