problem_id,dp,constraints,machine_techniques,human_techniques,machine_solutions,correctness,follow_constraints,new_techniques,new_techniques_ratio,model
1796A,1,['for loop'],"['for loop', 'tuple']","['K', ' ', '=', 'i', 'n', 't', '(', 'p', 'u', ')', '\r', '\n', 'f', 'o', 'r', 'a', 'g', 'e', '0', ',', ':', '\t', 'm', 'q', 's', '""', 'F', 'B', '*', '1', 'Y', 'E', 'S', 'l', 'N', 'O', 'b', ""'"", '3', 'd', 'v', 'w', '[', ']', '.', '2', '\\', 'j', '-', '_', '5', 'h', '<', 'k', '+', '!', 'y', '$', '/', ';', 'x', '>', '{', '?', '}', 'c']","def solve():
    import sys
    input = sys.stdin.read
    data = input().split()
    
    t = int(data[0])
    idx = 1
    test_cases = []
    max_k = 0
    for _ in range(t):
        k = int(data[idx])
        s = data[idx + 1]
        max_k = max(max_k, k)
        test_cases.append((k, s))
        idx += 2
",False,False,2,1.0,gpt-4.1_creativity
1831A,2,"['if statement', 'sorting']","['for loop', 'matrix operation']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '\t', '=', 's', 'l', 'm', ',', '.', '1', 'b', 'd', 'x', '+', '-', '*', '[', ']', 'v', '0', '2', ';', '_', ""'"", '""', '#', 'c', '<', '/', 'h', '>', '{', 'w', '}', 'j', 'y', 'A']","import sys
import numpy as np

def solve():
    input = sys.stdin.read
    data = input().split()
    t = int(data[0])
    idx = 1
    res = []
    for _ in range(t):
        n = int(data[idx])
        idx += 1
        a = np.array(list(map(int, data[idx:idx+n])))
        idx += n
        order = np.argsort(a)
        b = np.zeros(n, dtype=int)
        b[order] = np.arange(1, n+1)
        res.append(' '.join(map(str, b)))
    print('\n'.join(res))
",False,True,2,1.0,gpt-4.1_creativity
1716B,4,"['for loop', 'if statement', 'recursion', 'tuple']","['while loop', 'dictionary']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 's', '[', '*', '1', ',', '+', ']', '-', 'k', 'L', 'w', 'h', 'l', '<', '.', 'd', '_', '\t', 'A', ""'"", 'j', 'm', '0', 'c', '2', 'T', 'N', 'v', '>', 'x', ';', '~', '""']","def solve():
    import sys
    input = sys.stdin.read
    data = input().split()
    t = int(data[0])
    idx = 1
    res = []
    while t:
        n = int(data[idx])
        idx += 1
        chain = []
        perm = list(range(1, n+1))
        chain.append(perm[:])
        i = 0
        while i < n-1:
            perm = perm[:]
            perm[i], perm[i+1] = perm[i+1], perm[i]
            chain.append(perm[:])
            i += 1
        res.append(str(n))
        res.extend(' '.join(str(x) for x in perm) for perm in chain)
        t -= 1
    print('\n'.join(res))
",False,True,2,1.0,gpt-4.1_creativity
1744A,0,['this is the og problem'],"['for loop', 'dictionary', 'if statement', 'break statement']","['f', 'o', 'r', ' ', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '=', 'A', 'l', 's', 'm', ',', '.', 'D', 'd', 'c', 'v', 'T', 'j', '[', ']', '!', ""'"", 'N', 'O', 'F', 'b', 'k', 'Y', 'E', 'S', '{', '}', '0', '1', '""', 'I', '_', '*', 'z', 'y', 'x', '\t', 'w', '#', '<', '>', 'h', '5', '2', ';', '%', '&', '-', '+', '?', '\\', '/']","def solve():
    import sys
    input = sys.stdin.read
    data = input().split()
    idx = 0
    t = int(data[idx])
    idx += 1
    results = []
    for _ in range(t):
        n = int(data[idx])
        idx += 1
        a = list(map(int, data[idx:idx+n]))
        idx += n
        s = data[idx]
        idx += 1
        num_to_char = {}
        char_to_num = {}
        can = True
        for num, ch in zip(a, s):
            if num in num_to_char:
                if num_to_char[num] != ch:
                    can = False
                    break
            else:
                num_to_char[num] = ch
            if ch in char_to_num:
                if char_to_num[ch] != num:
                    can = False
                    break
            else:
                char_to_num[ch] = num
        results.append(""YES"" if can else ""NO"")
    print('\n'.join(results))
",False,True,4,1.0,gpt-4.1_creativity
1790A,5,"['break statement', 'for loop', 'recursion', 'while loop', 'if statement']",['tuple'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', '\t', 's', '=', ""'"", '3', '1', '4', '5', '9', '2', '6', '8', '7', 'c', '0', 'l', '[', ']', '+', 'b', 'k', 'z', '""', '*', 'w', 'h', '<', 'd', 'P', 'I', ',', '!', 'j', '#', 'S', 'T', 'R', 'x', 'q', 'm', '/', 'B', 'M', '.', '{', '|', '}', '-', 'v']","import sys

def solve():
    pi_digits = '314159265358979323846264338327'
    input_lines = input().split()
    t = int(input_lines[0])
    results = map(lambda n: sum(map(lambda x: x[0] == x[1], zip(n, pi_digits))), input_lines[1:t+1])
    print(*results, sep='\n')
",False,True,1,1.0,gpt-4.1_creativity
1807A,4,"['for loop', 'tuple', 'if statement', 'recursion']",['while loop'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\n', ',', 'b', 'c', '=', 'm', '.', 's', 'l', ""'"", '+', '-', '\r', '""', '[', '*', '0', ']', '1', ';', '<', 'x', 'y', 'z', '#', 'd', '>', '{', 'w', 'h', '\\', '}', 'N', 'q', '\t', '?']","def solve():
    t = int(input())
    res = []
    while t:
        a, b, c = map(int, input().split())
        # Use arithmetic to produce + or - without if, for, tuple, or recursion
        res.append('+' * ((a + b == c)) + '-' * ((a - b == c)))
        t -= 1
    print('\n'.join(res))
",True,True,1,1.0,gpt-4.1_creativity
1765B,0,['this is the og problem'],"['for loop', 'while loop', 'if statement', 'break statement']","['d', 'e', 'f', ' ', 'a', 'n', 's', '(', ')', ':', '\r', '\n', '=', 'i', 't', 'p', 'u', 'o', 'r', 'g', '1', ',', '3', '-', ""'"", 'N', 'O', 'l', '[', ']', '!', '+', 'Y', 'E', 'S', '#', 'c', '<', 'b', '/', '.', 'h', '>', 'm', ';', '{', '\t', '2', '0', 'w', 'k', '""', '%', '}', '_', 'F', '*', 'x', 'z', 'v', 'j', 'y', '\\', 'T', '^', '|', '&']","def solve():
    t = int(input())
    for _ in range(t):
        n = int(input())
        s = input().strip()
        i = 0
        press_num = 1  # 1-indexed total key presses
        possible = True
        while i < n:
            if press_num % 2 == 1:
                # Should be a single letter
                if i+1 < n and s[i] == s[i+1]:
                    possible = False
                    break
                i += 1
            else:
                # Should be two same letters
                if i+1 >= n or s[i] != s[i+1]:
                    possible = False
                    break
                i += 2
            press_num += 1
        print(""YES"" if possible else ""NO"")
",True,True,4,1.0,gpt-4.1_creativity
1873A,2,"['for loop', 'while loop']","['set', 'for loop']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', 's', '=', '""', 'c', 'N', 'O', 'l', 'Y', 'E', 'S', 'b', '[', '2', ']', ""'"", ',', 'y', '.', 'w', 'h', '>', '0', '-', '1', '\t', 'x', 'm', 'd', '3', '#', '<', '{', ';', '|', '?', '\\', '}', '*', '9', '7', '+']","def solve():
    import sys
    input = sys.stdin.read
    data = input().split()
    t = int(data[0])
    possible = {""abc"", ""acb"", ""bac"", ""cba""}
    print('\n'.join(['YES' if s in possible else 'NO' for s in data[1:t+1]]))
",False,False,2,1.0,gpt-4.1_creativity
1804A,3,"['if statement', 'tuple', 'matrix operation']","['for loop', 'tuple']","['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\r', '\n', ',', 'b', '=', 'm', '.', 's', 'l', '-', '<', '1', '+', 'x', '*', '2', '#', 'c', 'd', '/', 'h', '>', ';', 'T', '{', '\t', 'w', '0', '""', '\\', '}', '[', ']', '!', ""'"", 'y', '&', '8', '4', 'A', 'q', 'k', 'v']","def solve():
    import sys
    input = sys.stdin.read
    data = input().split()
    t = int(data[0])
    res = []
    for i in range(t):
        a = int(data[2*i+1])
        b = int(data[2*i+2])
        x = abs(a)
        y = abs(b)
        m = x + y
        d = abs(x - y)
        ans = m
        ans += max(0, d - 1)
        res.append(str(ans))
    print('\n'.join(res))
",False,False,2,1.0,gpt-4.1_creativity
1883A,4,"['if statement', 'for loop', 'dictionary', 'while loop']",['dictionary'],"['f', 'o', 'r', ' ', '_', 'i', 'n', 'a', 'g', 'e', '(', 't', 'p', 'u', ')', ':', '\n', 's', '=', '""', '1', '2', '3', '4', '5', '6', '7', '8', '9', '0', '.', 'd', 'x', '[', ']', ',', 'l', '+', 'b', '-', '\r', ""'"", 'k', 'c', 'm', '!', 'y', '#', '<', '>', ';', '{', 'w', 'h', '}', '/', '\\', '\t', 'q', 'C', 'F', 'R', 'M', 'v', 'j', 'T', '*', 'z']","def solve():
    import sys
    input = sys.stdin.read
    data = input().split()
    t = int(data[0])
    pins = data[1:]
    
    # The keypad as a string to get the index for movement.
    keypad = '1234567890'
    
    # Helper function to compute distance between two digits
    def move_cost(a, b):
        return abs(keypad.index(a) - keypad.index(b))
    
    results = list(map(
        lambda pin: str(
            4 + move_cost('1', pin[0]) + move_cost(pin[0], pin[1]) + move_cost(pin[1], pin[2]) + move_cost(pin[2], pin[3])
        ),
        pins
    ))
    
    print('\n'.join(results))
",False,False,1,1.0,gpt-4.1_creativity
